Player,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Patrick van Aanholt,DF,Crystal Palace,17.7,30,18,18,11,1,178,56,31.5,111,50,17,26,4,0,22,29,59,36,1
Tammy Abraham,FW,Chelsea,11.3,6,3,2,3,1,152,36,23.7,11,64,77,9,2,0,7,2,8,15,0
Che Adams,FW,Southampton,24.1,26,14,4,12,10,320,109,34.1,38,113,169,19,3,0,16,7,33,13,1
Tosin Adarabioyo,DF,Fulham,27,33,21,27,5,1,148,45,30.4,101,42,5,31,18,0,13,39,72,204,1
Adrian,GK,Liverpool,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Sergio Aguero,FW,Manchester City,4.2,1,0,0,0,1,54,13,24.1,6,16,32,3,0,0,3,4,5,1,0
Ola Aina,DF,Fulham,26,43,22,24,13,6,223,57,25.6,115,86,22,41,5,0,36,47,90,112,0
Rayan Ait Nouri,DF,Wolves,8.8,18,10,8,9,1,125,36,28.8,63,45,17,15,0,0,15,9,27,23,0
Semi Ajayi,DF,West Brom,24.3,52,37,40,10,2,283,114,40.3,186,83,14,47,26,3,21,27,79,113,1
Nathan Ake,DF,Manchester City,5.2,5,2,3,1,1,29,11,37.9,9,14,6,3,1,0,2,3,8,14,0
Marc Albrighton,"FW,DF",Leicester City,14.6,34,25,12,14,8,252,98,38.9,88,100,64,26,2,1,24,20,54,19,0
Thiago Alcantara,MF,Liverpool,13.5,38,25,14,17,7,254,78,30.7,64,136,54,14,0,0,14,21,59,13,0
Toby Alderweireld,DF,Tottenham,17.9,32,14,19,13,0,155,51,32.9,93,59,3,36,21,1,15,4,36,129,0
Trent Alexander-Arnold,DF,Liverpool,25.7,48,30,24,18,6,235,86,36.6,80,89,66,32,2,0,30,24,72,51,1
Ezgjan Alioski,"DF,MF",Leeds United,20,58,29,22,29,7,387,113,29.2,164,168,55,31,5,0,26,22,80,43,0
Alisson,GK,Liverpool,25,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,5
Allan,MF,Everton,14.8,44,31,20,22,2,389,119,30.6,177,189,23,26,8,0,18,13,57,17,0
Dele Alli,MF,Tottenham,2.6,5,3,4,0,1,77,16,20.8,12,36,29,2,0,0,2,4,9,1,0
Miguel Almiron,"MF,FW",Newcastle Utd,19.4,39,23,18,18,3,358,83,23.2,118,140,100,26,2,1,24,23,62,19,1
Marcos Alonso,DF,Chelsea,8.8,10,6,4,4,2,120,37,30.8,55,40,25,19,1,0,18,8,18,34,0
Steven Alzate,"MF,DF",Brighton,8.2,17,13,11,3,3,125,48,38.4,36,57,32,15,1,0,14,5,22,9,1
Daniel Amartey,DF,Leicester City,7.5,12,6,7,3,2,61,24,39.3,37,21,3,17,5,1,12,10,22,41,0
Ethan Ampadu,"DF,MF",Sheffield Utd,21.3,58,34,30,23,5,332,94,28.3,166,125,41,44,20,0,24,37,95,108,2
Joachim Andersen,DF,Fulham,24.7,31,19,17,11,3,144,50,34.7,96,38,10,26,13,0,13,37,68,192,1
Elliot Anderson,MF,Newcastle Utd,0,0,0,0,0,0,3,1,33.3,0,3,0,0,0,0,0,0,0,0,0
